date,price,total_volume,market_cap,coin_name
2015-04-04,253.321,63959131.204,3551247974.375,bitcoin
2015-04-05,259.712,82969308.753,3641795729.91,bitcoin
2015-04-06,255.423,83832524.036,3582471422.062,bitcoin
2015-04-07,253.208,88508043.427,3551882233.75,bitcoin
2015-04-08,244.271,106548662.283,3427768044.885,bitcoin
2015-04-09,243.201,93749435.172,3413570471.554,bitcoin
2015-04-10,234.525,110710603.098,3292518276.098,bitcoin
2015-04-11,236.45,87634999.717,3319540687.658,bitcoin
2015-04-12,235.739,62271722.26,3309551885.795,bitcoin
2015-04-13,223.946,87796699.146,3146530899.9,bitcoin
2015-04-14,218.0,109539415.092,3063792222.938,bitcoin
2015-04-15,223.016,71588917.364,3134965194.712,bitcoin
2015-04-16,228.0,88471192.539,3205775569.775,bitcoin
2015-04-17,222.417,101386584.099,3127985665.988,bitcoin
2015-04-18,222.954,70165374.021,3136367731.695,bitcoin
2015-04-19,222.681,58633108.407,3133241391.63,bitcoin
2015-04-20,224.309,63561423.223,3157115506.425,bitcoin
2015-04-21,234.687,80763824.953,3304071908.955,bitcoin
2015-04-22,233.781,72515582.866,3292205018.715,bitcoin
2015-04-23,235.174,55130032.4,3312571610.275,bitcoin
2015-04-24,230.986,73282646.189,3254290910.152,bitcoin
2015-04-25,225.957,58830426.887,3184369639.96,bitcoin
2015-04-26,218.506,96999963.63,3080176877.25,bitcoin
2015-04-27,228.571,95409417.491,3222813920.04,bitcoin
2015-04-28,225.642,71643965.123,3182408229.682,bitcoin
2015-04-29,225.998,56781693.778,3188139664.71,bitcoin
2015-04-30,236.221,103785827.259,3333116826.64,bitcoin
2015-05-01,232.74,74708330.708,3284896594.2,bitcoin
2015-05-02,235.156,61431426.387,3319854338.695,bitcoin
2015-05-03,239.882,86630763.255,3387421698.4,bitcoin
2015-05-04,238.971,84138462.793,3375292445.58,bitcoin
2015-05-05,236.002,71871894.074,3334246892.113,bitcoin
2015-05-06,229.815,70623213.738,3246886599.4,bitcoin
2015-05-07,236.845,74887945.158,3346205371.25,bitcoin
2015-05-08,243.657,79882346.227,3442447010.25,bitcoin
2015-05-09,241.532,79529081.711,3412425891.825,bitcoin
2015-05-10,239.555,67810639.807,3384490103.1,bitcoin
2015-05-11,241.851,70787411.312,3416925739.45,bitcoin
2015-05-12,241.519,60882937.626,3412239398.925,bitcoin
2015-05-13,235.479,50100818.287,3326910420.225,bitcoin
2015-05-14,236.704,56975125.501,3344213288.0,bitcoin
2015-05-15,236.991,39256136.304,3348265270.1,bitcoin
2015-05-16,235.978,26856157.042,3333957591.325,bitcoin
2015-05-17,236.085,24401603.48,3335463662.775,bitcoin
2015-05-18,232.476,33772801.858,3284474808.525,bitcoin
2015-05-19,231.945,31085021.505,3276971294.95,bitcoin
2015-05-20,234.048,28778007.286,3306688656.0,bitcoin
2015-05-21,235.42,27373179.764,3326079679.125,bitcoin
2015-05-22,240.935,54518478.959,3419033119.26,bitcoin
2015-05-23,239.033,47757592.66,3392690898.435,bitcoin
2015-05-24,241.242,29761665.976,3424926508.028,bitcoin
2015-05-25,237.441,30834563.231,3371792792.55,bitcoin
2015-05-26,237.497,30268982.762,3373426620.682,bitcoin
2015-05-27,237.23,30728765.831,3370470121.038,bitcoin
2015-05-28,237.489,26801090.327,3374927913.963,bitcoin
2015-05-29,237.071,31108417.13,3369940317.075,bitcoin
2015-05-30,233.457,31403744.863,3319341161.04,bitcoin
2015-05-31,229.678,23353985.648,3266430207.375,bitcoin
2015-06-01,223.318,43602264.824,3176729202.67,bitcoin
2015-06-02,225.739,32062237.058,3212024675.365,bitcoin
2015-06-03,225.483,30472196.116,3208477948.985,bitcoin
2015-06-04,224.175,29003069.459,3189861690.38,bitcoin
2015-06-05,224.741,32252691.587,3197922617.155,bitcoin
2015-06-06,225.289,18238445.735,3205714609.215,bitcoin
2015-06-07,223.616,24133822.467,3181906060.795,bitcoin
2015-06-08,228.701,40449914.189,3254270843.155,bitcoin
2015-06-09,229.526,36746856.38,3266011479.84,bitcoin
2015-06-10,229.002,29194036.772,3258552454.57,bitcoin
2015-06-11,229.934,28833233.413,3271815631.705,bitcoin
2015-06-12,230.518,29722314.849,3280122726.235,bitcoin
2015-06-13,232.63,29012321.273,3310175113.435,bitcoin
2015-06-14,233.668,35303170.715,3324945178.735,bitcoin
2015-06-15,237.201,46839294.423,3375220318.155,bitcoin
2015-06-16,250.474,96364192.872,3564086480.705,bitcoin
2015-06-17,247.694,100630046.352,3524530310.64,bitcoin
2015-06-18,248.552,67360540.679,3536733401.2,bitcoin
2015-06-19,242.997,60767655.665,3457685093.145,bitcoin
2015-06-20,245.475,55692672.675,3492955382.99,bitcoin
2015-06-21,243.996,26531885.053,3488836375.125,bitcoin
2015-06-22,247.279,41166801.75,3536683169.6,bitcoin
2015-06-23,243.849,37387508.431,3488498071.6,bitcoin
2015-06-24,240.538,39616260.296,3442040366.018,bitcoin
2015-06-25,242.477,34244051.08,3470729479.685,bitcoin
2015-06-26,242.482,34005665.063,3471728541.202,bitcoin
2015-06-27,250.621,49080095.215,3589074420.225,bitcoin
2015-06-28,248.345,40522516.655,3557369715.93,bitcoin
2015-06-29,256.304,73197757.005,3672257830.227,bitcoin
2015-06-30,262.406,99893250.068,3760650012.7,bitcoin
2015-07-01,257.506,68104997.644,3691294141.84,bitcoin
2015-07-02,254.654,52711167.627,3651410104.643,bitcoin
2015-07-03,255.161,42339288.966,3659678537.625,bitcoin
2015-07-04,260.415,42932957.079,3736024266.375,bitcoin
2015-07-05,271.04,96139966.486,3889432509.488,bitcoin
2015-07-06,268.595,111884711.197,3855533497.75,bitcoin
2015-07-07,265.384,64748934.307,3810376692.04,bitcoin
2015-07-08,269.613,79366281.26,3871966451.431,bitcoin
2015-07-09,268.893,75940632.199,3862503903.28,bitcoin
2015-07-10,285.022,113799594.141,4095521056.488,bitcoin
2015-07-11,291.891,114394387.166,4195301867.783,bitcoin
2015-07-12,310.192,115546321.24,4459352692.658,bitcoin
2015-07-13,290.666,130058766.787,4179711756.9,bitcoin
2015-07-14,286.665,74446013.37,4122384618.065,bitcoin
2015-07-15,283.949,52932167.701,4084701354.03,bitcoin
2015-07-16,276.68,97423601.544,3981564979.05,bitcoin
2015-07-17,278.373,60573486.782,4007009432.32,bitcoin
2015-07-18,274.484,52505422.185,3951120257.427,bitcoin
2015-07-19,272.806,26896009.893,3926969933.482,bitcoin
2015-07-20,277.245,40729476.381,3993823954.025,bitcoin
2015-07-21,274.943,43239135.226,3961652068.233,bitcoin
2015-07-22,276.176,43240737.35,3980470592.07,bitcoin
2015-07-23,275.614,34164576.519,3973299338.7,bitcoin
2015-07-24,288.445,79396118.753,4158911304.541,bitcoin
2015-07-25,288.388,54859994.563,4158095826.323,bitcoin
2015-07-26,291.704,40248392.33,4205901558.492,bitcoin
2015-07-27,292.615,63540197.331,4219037232.32,bitcoin
2015-07-28,293.993,63623601.6,4238912996.72,bitcoin
2015-07-29,288.719,52624701.467,4162873225.659,bitcoin
2015-07-30,286.837,43880110.29,4135724833.44,bitcoin
2015-07-31,283.676,63971590.588,4090154891.22,bitcoin
2015-08-01,280.701,53533745.826,4047265065.76,bitcoin
2015-08-02,281.727,46165536.823,4062048251.28,bitcoin
2015-08-03,281.83,41411646.71,4063535808.712,bitcoin
2015-08-04,284.239,48308760.906,4098275923.12,bitcoin
2015-08-05,281.401,43424335.531,4057353077.604,bitcoin
2015-08-06,278.013,41914107.678,4008508406.56,bitcoin
2015-08-07,278.509,47637462.168,4015651480.278,bitcoin
2015-08-08,259.801,80056216.997,3745910822.153,bitcoin
2015-08-09,264.338,67863178.911,3811337988.901,bitcoin
2015-08-10,263.578,60783290.218,3817350354.96,bitcoin
2015-08-11,269.867,64124892.997,3909600811.62,bitcoin
2015-08-12,267.713,73043602.388,3879202423.705,bitcoin
2015-08-13,263.656,57163446.795,3821420843.638,bitcoin
2015-08-14,265.128,61280618.557,3843674745.143,bitcoin
2015-08-15,260.476,38131976.869,3777139796.811,bitcoin
2015-08-16,257.816,55868003.653,3739450598.73,bitcoin
2015-08-17,257.063,51730292.401,3729475807.2,bitcoin
2015-08-18,253.077,49833133.8,3672268004.3,bitcoin
2015-08-19,225.96,143390129.284,3279919634.095,bitcoin
2015-08-20,234.638,99655604.531,3406736999.838,bitcoin
2015-08-21,232.332,62180213.612,3374233144.92,bitcoin
2015-08-22,229.149,102329840.282,3328896176.08,bitcoin
2015-08-23,227.245,72465770.67,3302029052.645,bitcoin
2015-08-24,210.094,139379271.339,3053595830.271,bitcoin
2015-08-25,221.328,183422133.028,3217665292.192,bitcoin
2015-08-26,225.267,144278489.537,3275815633.87,bitcoin
2015-08-27,222.97,69900344.069,3243160210.6,bitcoin
2015-08-28,231.658,95134718.755,3370431355.445,bitcoin
2015-08-29,228.468,56654306.072,3324950575.268,bitcoin
2015-08-30,228.067,54615311.644,3319968528.72,bitcoin
2015-08-31,230.078,58032869.772,3350144206.29,bitcoin
2015-09-01,227.163,61479340.239,3308579439.802,bitcoin
2015-09-02,228.643,47781609.221,3331062656.78,bitcoin
2015-09-03,226.566,43765322.15,3301579143.195,bitcoin
2015-09-04,230.051,55274502.376,3353296684.942,bitcoin
2015-09-05,234.75,58712579.102,3422635972.525,bitcoin
2015-09-06,239.129,70113446.298,3487336313.15,bitcoin
2015-09-07,240.503,50336412.98,3508277386.75,bitcoin
2015-09-08,243.559,67754768.56,3553698013.058,bitcoin
2015-09-09,237.945,55993048.116,3472697170.03,bitcoin
2015-09-10,238.776,48531118.883,3485799693.18,bitcoin
2015-09-11,240.001,44294574.35,3504653618.529,bitcoin
2015-09-12,234.91,40541222.496,3431133648.015,bitcoin
2015-09-13,230.505,46253457.407,3367623264.42,bitcoin
2015-09-14,230.21,52117340.607,3364179590.25,bitcoin
2015-09-15,229.912,58562863.204,3360764475.475,bitcoin
2015-09-16,228.464,51089489.854,3340446394.8,bitcoin
2015-09-17,232.746,54594105.827,3403177100.1,bitcoin
2015-09-18,232.354,79606359.725,3399002106.7,bitcoin
2015-09-19,231.273,39022087.91,3383904198.112,bitcoin
2015-09-20,230.66,36477159.26,3375670110.545,bitcoin
2015-09-21,226.453,36795275.817,3314850054.32,bitcoin
2015-09-22,229.883,71785978.837,3365879385.27,bitcoin
2015-09-23,229.866,53526673.236,3366614506.8,bitcoin
2015-09-24,233.926,124125639.295,3426856523.425,bitcoin
2015-09-25,234.977,115435785.465,3443254571.12,bitcoin
2015-09-26,234.528,93607431.453,3437534062.275,bitcoin
2015-09-27,232.835,75776526.636,3413577894.965,bitcoin
2015-09-28,239.276,245683532.127,3508852288.512,bitcoin
2015-09-29,237.226,115160470.821,3479847405.18,bitcoin
2015-09-30,236.046,76056339.962,3463401139.065,bitcoin
2015-10-01,237.736,72356986.646,3489093808.33,bitcoin
2015-10-02,237.259,84448749.096,3482919072.14,bitcoin
2015-10-03,238.972,73353042.375,3508906579.53,bitcoin
2015-10-04,238.657,78899567.084,3505203181.935,bitcoin
2015-10-05,240.324,107434379.861,3530596945.8,bitcoin
2015-10-06,246.444,135776679.783,3621402163.5,bitcoin
2015-10-07,243.223,121587412.756,3574397657.828,bitcoin
2015-10-08,242.901,97564224.993,3569664084.28,bitcoin
2015-10-09,244.205,109153976.98,3588832044.472,bitcoin
2015-10-10,245.321,89165069.7,3607756618.648,bitcoin
2015-10-11,247.539,79268221.715,3640379548.48,bitcoin
2015-10-12,245.566,108125413.617,3611362597.278,bitcoin
2015-10-13,249.405,164455688.102,3667819987.002,bitcoin
2015-10-14,252.696,321865165.911,3720285701.44,bitcoin
2015-10-15,254.63,207297257.62,3749948525.346,bitcoin
2015-10-16,262.374,332398256.166,3864938757.112,bitcoin
2015-10-17,270.365,271593080.801,3983558775.515,bitcoin
2015-10-18,262.234,116712427.057,3864772725.825,bitcoin
2015-10-19,264.209,224715633.908,3894955159.095,bitcoin
2015-10-20,270.266,319017395.23,3985078068.0,bitcoin
2015-10-21,267.019,201630914.857,3938178700.69,bitcoin
2015-10-22,273.573,229034925.68,4035872003.85,bitcoin
2015-10-23,277.388,130573069.754,4093191773.37,bitcoin
2015-10-24,282.957,168029249.383,4176382824.68,bitcoin
2015-10-25,284.749,336860319.588,4203955930.025,bitcoin
2015-10-26,285.516,221583939.264,4215884952.015,bitcoin
2015-10-27,294.809,329397533.939,4354732830.69,bitcoin
2015-10-28,303.637,387209571.061,4486177628.595,bitcoin
2015-10-29,313.907,543163761.47,4639133966.828,bitcoin
2015-10-30,325.801,843340993.218,4816269544.725,bitcoin
2015-10-31,312.278,321997491.799,4617510889.908,bitcoin
2015-11-01,324.997,582434357.372,4806796483.202,bitcoin
2015-11-02,350.768,636690229.006,5189223756.42,bitcoin
2015-11-03,398.237,987283928.32,5893149469.89,bitcoin
2015-11-04,404.359,984425381.795,5985308848.63,bitcoin
2015-11-05,387.473,913505444.8,5736789622.45,bitcoin
2015-11-06,372.826,770242854.476,5521254799.2,bitcoin
2015-11-07,387.06,462741972.469,5733490750.5,bitcoin
2015-11-08,371.502,264157489.623,5504396533.2,bitcoin
2015-11-09,380.644,420137368.366,5641277305.4,bitcoin
2015-11-10,336.873,620473336.369,4993780086.525,bitcoin
2015-11-11,305.983,572707252.527,4537161821.45,bitcoin
2015-11-12,337.955,546923067.47,5012582355.5,bitcoin
2015-11-13,337.372,414918018.067,5005284729.2,bitcoin
2015-11-14,331.501,131135195.64,4919391964.75,bitcoin
2015-11-15,320.484,237800138.659,4757160338.7,bitcoin
2015-11-16,331.353,239442892.607,4919473733.625,bitcoin
2015-11-17,335.111,236625919.271,4976968038.7,bitcoin
2015-11-18,335.447,185981663.294,4983266453.2,bitcoin
2015-11-19,325.568,206391901.27,4837533520.0,bitcoin
2015-11-20,321.417,123560944.184,4777269083.55,bitcoin
2015-11-21,325.159,199949522.189,4834317690.45,bitcoin
2015-11-22,323.395,167053005.395,4809449591.25,bitcoin
2015-11-23,322.829,188739479.437,4802404204.0,bitcoin
2015-11-24,319.979,103800161.909,4761183526.825,bitcoin
2015-11-25,328.169,714595229.536,4884311515.725,bitcoin
2015-11-26,356.245,1237550807.652,5303722123.25,bitcoin
2015-11-27,359.011,895711315.71,5346023825.725,bitcoin
2015-11-28,356.212,667783121.784,5305804455.9,bitcoin
2015-11-29,371.488,921927632.158,5534688265.6,bitcoin
2015-11-30,378.265,1299027009.492,5637217098.625,bitcoin
2015-12-01,363.45,523072117.506,5417967322.5,bitcoin
2015-12-02,358.82,1153668371.958,5350373990.5,bitcoin
2015-12-03,360.954,1149814390.144,5383466480.7,bitcoin
2015-12-04,362.767,1039912869.973,5411894143.625,bitcoin
2015-12-05,390.645,1426331736.137,5829507439.875,bitcoin
2015-12-06,394.011,1512626609.73,5881283993.7,bitcoin
2015-12-07,394.355,1282263557.399,5887868033.125,bitcoin
2015-12-08,412.93,954462002.252,6167016640.75,bitcoin
2015-12-09,417.368,1528970867.732,6235070986.2,bitcoin
2015-12-10,416.91,1275837073.443,6230407267.5,bitcoin
2015-12-11,452.415,1623480958.45,6762812523.75,bitcoin
2015-12-12,434.903,1745413356.782,6502593547.975,bitcoin
2015-12-13,435.815,1484344615.62,6517994663.125,bitcoin
2015-12-14,443.277,1497157323.941,6631778541.6,bitcoin
2015-12-15,464.999,1555251795.359,6958907659.575,bitcoin
2015-12-16,453.914,896686369.832,6794808883.75,bitcoin
2015-12-17,456.473,1302614351.275,6834975641.85,bitcoin
2015-12-18,463.816,1135226734.003,6946908498.6,bitcoin
2015-12-19,462.053,556941126.995,6922223916.85,bitcoin
2015-12-20,441.129,1175787490.625,6610549657.725,bitcoin
2015-12-21,437.809,1416880180.005,6562505169.825,bitcoin
2015-12-22,436.237,1296402582.26,6540512246.925,bitcoin
2015-12-23,442.821,955949147.614,6640942254.9,bitcoin
2015-12-24,454.907,1418671442.057,6823821080.825,bitcoin
2015-12-25,455.742,1058738142.199,6838203626.1,bitcoin
2015-12-26,417.092,1725069505.987,6260008700.4,bitcoin
2015-12-27,423.925,1378749291.494,6364767557.5,bitcoin
2015-12-28,420.708,1310931884.674,6318056013.9,bitcoin
2015-12-29,432.154,1176234726.801,6491698545.65,bitcoin
2015-12-30,426.811,1227648166.044,6413208734.625,bitcoin
2015-12-31,431.139,1310033274.611,6479728151.175,bitcoin
2016-01-01,434.427,1338781510.589,6530621623.575,bitcoin
2016-01-02,434.326,769869067.602,6530688608.25,bitcoin
2016-01-03,430.198,984185979.646,6470199429.9,bitcoin
2016-01-04,433.534,1021957722.843,6522334778.05,bitcoin
2016-01-05,432.115,758209345.882,6502628563.125,bitcoin
2016-01-06,431.343,833341869.284,6492499350.975,bitcoin
2016-01-07,456.434,1637948558.256,6870164692.05,bitcoin
2016-01-08,454.696,1501742593.981,6847658073.555,bitcoin
2016-01-09,448.709,1085553694.145,6759240198.75,bitcoin
2016-01-10,447.207,1361099089.937,6738604517.4,bitcoin
2016-01-11,448.349,1182725805.934,6757695467.6,bitcoin
2016-01-12,445.792,888588584.756,6721027667.2,bitcoin
2016-01-13,432.12,1584488640.982,6516499236.0,bitcoin
2016-01-14,429.243,1266295629.458,6474583370.175,bitcoin
2016-01-15,365.912,1576734613.704,5519407460.2,bitcoin
2016-01-16,384.813,1710583688.224,5806905132.6,bitcoin
2016-01-17,386.356,1476285800.551,5830189311.2,bitcoin
2016-01-18,385.132,1357696058.821,5814809590.7,bitcoin
2016-01-19,379.015,1157108220.855,5723770825.5,bitcoin
2016-01-20,418.848,1674254290.151,6326929406.4,bitcoin
2016-01-21,407.815,1484721462.289,6161646248.875,bitcoin
2016-01-22,377.21,1626853795.961,5700897323.25,bitcoin
2016-01-23,389.641,755378842.131,5889248376.55,bitcoin
2016-01-24,403.056,1458284443.517,6094932220.8,bitcoin
2016-01-25,392.326,1332190240.795,5934195570.05,bitcoin
2016-01-26,392.456,1231352757.48,5937437389.8,bitcoin
2016-01-27,394.491,1023661369.622,5968224752.175,bitcoin
